nome,endereco,cidade,uf,cep,telefone,latitude,longitude
APS Rosário Do Oeste,,Rosário Do Oeste,MT,,,,
APS São Félix Do Araguaia,,São Félix Do Araguaia,MT,,,,
APS Confresa,"Avenida Airton Senna, S/N, Centro, Confresa - Mt",Confresa,MT,,,-10.6446949,-51.5668967
APS Barra Do Bugres,"Av. Hitler Sansao Esq Rua Celso P Borguete, Centro, Barra Do Bugres - Mt",Barra Do Bugres,MT,,,-15.069876,-57.1811426
APS Campo Verde,"Rua Medianeira, Centro, Campo Verde - Mt",Campo Verde,MT,,,-15.5482444,-55.1573842
APS Sinop,"Av. Das Figueiras - Nr 1357 Centro, Setor Comercial, Sinop - Mt",Sinop,MT,,,-11.8530368,-55.5053583
APS Alta Floresta,,Alta Floresta,MT,,,,
APS Colíder,"Av. Colonizador 404 Setor Leste, Centro, Colíder - Mt",Colíder,MT,,,-10.8123852,-55.451726
APS Juara,"Rua Anita Garibalde, 93 - Lote 13, Centro, Juara - Mt",Juara,MT,,,-11.2617353,-57.5194612
APS Juína,"Av. Dos Jambos, 1835, Centro, Juína - Mt",Juína,MT,,,-11.4201197,-58.76494100000001
APS Sorriso,"Av. Ademar Raiter Nº 261, Centro, Sorriso - Mt",Sorriso,MT,,,-12.545839,-55.7133037
APS Matupá,"Rua 2, Nº 620, Centro, Matupá - Mt",Matupá,MT,,,-10.1701436,-54.9256046
APS Nova Mutum,"Av. Arapongas Lt. 15 E 16 - Qdr 83, Centro, Nova Mutum - Mt",Nova Mutum,MT,,,-13.8067212,-56.0840659
APS Guarantã Do Norte,"Av. Guarantã Do Norte, Nº 940, Centro, Guarantã Do Norte - Mt",Guarantã Do Norte,MT,,,-9.9455517,-54.91259480000001
APS Lucas Do Rio Verde,,Lucas Do Rio Verde,MT,,,,
APS Peixoto Azevedo,"Rua Lions Internacional Qd. 03 Lt.. 09 S 13, Centro, Peixoto Azevedo - Mt",Peixoto Azevedo,MT,,,-22.9012249,-43.1791747
APS Colniza,"Av. Do Contorno, Nº 840, Centro, Colniza - Mt",Colniza,MT,,,-9.4606619,-59.22044820000001
APS Belo Horizonte - Barreiro,"Av. Tito Fulgêncio, 104, Barreiro, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.9575501,-44.016357
APS Belo Horizonte - Floresta,"Rua Pitangui 2052, Sagrada Familia, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.906455,-43.927664
APS Belo Horizonte - Oeste,"Rua Espirito Santo 54 Terreo, Centro, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.915184,-43.93627900000001
APS Belo Horizonte - Padre Eustáquio,"Rua Padre Eustaquio 1831 Andar 2, Padre Eustaquio, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.9148426,-43.96866989999999
APS Belo Horizonte - Santa Efigênia,"Rua Dos Tupinambás, Nº 351, Centro, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.9181911,-43.9375682
APS Belo Horizonte - Sul,"Rua Dos Guaicurus 312 Andar 2, Centro, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.9152072,-43.9365452
APS Belo Horizonte - Venda Nova,"Rua Padre Pedro Pinto 422, Venda Nova, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.8176934,-43.95372
APS Belo Horizonte - Calafate,"Rua Padre Eustaquio, 1831 - Térreo, Padre Eustaquio, Belo Horizonte - Mg",Belo Horizonte,MG,,,-19.9148426,-43.96866989999999
APS Barbacena,"Rua Teobaldo Tolendal, 89, Centro, Barbacena - Mg",Barbacena,MG,,,-21.2241826,-43.774111
APS Congonhas,"Rua Dr. Antonio Pacifico Homem Jr, 60, Centro, Congonhas - Mg",Congonhas,MG,,,-20.4999898,-43.8504291
APS Conselheiro Lafaiete,"Av.Telesforo Candido De Resende, 72, Centro, Conselheiro Lafaiete - Mg",Conselheiro Lafaiete,MG,,,-20.659299,-43.7938212
APS Ouro Branco/Mg,,Ouro Branco,MG,,,,
APS Santos Dumont,"Rua Manoel De Paula, 30, Centro, Santos Dumont - Mg",Santos Dumont,MG,,,-21.4575598,-43.5506268
APS São João Del Rei,"Avenida Tiradentes, 684, Centro, São João Del Rei - Mg",São João Del Rei,MG,,,-21.1367161,-44.2604529
APS Ubá,"Rua Santa Cruz, 169, Centro, Ubá - Mg",Ubá,MG,,,-21.1213728,-42.94360169999999
APS Viçosa/Mg,"Rua Dr. Milton Bandeira, 160, Centro, Viçosa - Mg",Viçosa,MG,,,-20.7527526,-42.8801555
APS Visconde Do Rio Branco,"Av. Dr Carlos Soares, 414, Centro, Visconde Do Rio Branco - Mg",Visconde Do Rio Branco,MG,,,-21.0102904,-42.8357404
APS Carandaí,"Rua Cônego Cota, 83 - S/L, Centro, Carandaí - Mg",Carandaí,MG,,,-20.953732,-43.805497
APS Betim,"Rua Inconfidentes - 273, Chacara, Betim - Mg",Betim,MG,,,-19.9630734,-44.1910789
APS Contagem,"Rua Bernardo Monteiro, 400, Centro, Contagem - Mg",Contagem,MG,,,-19.9142026,-44.0887889
APS Pedro Leopoldo,"Rua Dirceu Lopes, 278, Centro, Pedro Leopoldo - Mg",Pedro Leopoldo,MG,,,-19.6234054,-44.03761069999999
APS Ribeirão Das Neves,"Rua Jose Leao Papa, Varzea Alegre, Ribeirão Das Neves - Mg",Ribeirão Das Neves,MG,,,-19.7694096,-44.0867358
APS Santa Luzia/Mg,"Rua Francisco Viana Dos Santos, 63, Esplanada, Santa Luzia - Mg",Santa Luzia,MG,,,-19.7663404,-43.8430012
APS Sete Lagoas,"Rua Luiz Privat, 59, Centro, Sete Lagoas - Mg",Sete Lagoas,MG,,,-19.4577446,-44.2444083
APS Vespasiano,"Rua Prefeito Sebastião Fernandes, 725, Centro, Vespasiano - Mg",Vespasiano,MG,,,-19.6946985,-43.9187494
APS Brumadinho,,Brumadinho,MG,,,-20.1432112,-44.2073737
APS Matozinhos,"R.Padre Francisco Vieira Chaves, 40, Centro, Matozinhos - Mg",Matozinhos,MG,,,-19.5598627,-44.0793911
APS Ibirité,,Ibirité,MG,,,-20.0005311,-44.0683068
APS Lagoa Santa/Mg,"Av. Engenheiro Vicente De Freitas. 200, Centro, Lagoa Santa - Mg",Lagoa Santa,MG,,,-19.6297385,-43.9032238
APS Pompéu,"Rua Antonio Lacerda, Centro, Pompéu - Mg",Pompéu,MG,,,-19.2165906,-45.0044528
APS Bom Despacho,"Av. Ari Marques Pereira, 190, Centro, Bom Despacho - Mg",Bom Despacho,MG,,,-19.734564,-45.25397599999999
APS Divinópolis,"Av. Getulio Vargas, 342, Centro, Divinópolis - Mg",Divinópolis,MG,,,-20.1462736,-44.886722
APS Formiga,"Rua Dos Viajantes, 11, Centro, Formiga - Mg",Formiga,MG,,,-20.4635574,-45.4309691
