NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
"APS MANGA,""RUA GOVERNADOR VALADARES, 1870"",MANGA,MG,,,-14.7534952,-43.9324604"
"APS TAIOBEIRAS,""RUA RIO PARDO, 1035"",TAIOBEIRAS,MG,,,-15.8144099,-42.2261234"
APS SÃO JOÃO DO PARAISO/MG,RUA MATO GROSSO 315,SÃO JOÃO DO PARAISO,MG,,,-15.3156113,-42.0325271
APS VARZEA DA PALMA,RUA ANÁLIA AGUIAR 710,VARZEA DA PALMA,MG,,,-17.594995,-44.731765
"APS PORTEIRINHA,""AVENIDA JOSE SILVEIRA LOPES, 303"",PORTEIRINHA,MG,,,-15.7411391,-43.0223479"
"APS JAIBA,""RUA SIMPLICIANO FREIRE JARDIM, 203"",JAIBA,MG,,,,"
"APS MONTE AZUL,""RUA JULITA ROSA DE JESUS, 105"",MONTE AZUL,MG,,,,"
"APS BARÃO DE COCAIS,""R PRESIDENTE TANCREDO NEVES, 45"",BARÃO DE COCAIS,MG,,,-19.8571239,-43.4493948"
"APS CAETÉ - TANCREDO NEVES,""AV. CARLOS CRUZ 381, BAIRRO JOSÉ BRANDÃO"",CAETÉ,MG,,,,"
"APS ITABIRA,""RUA PADRE ANGELO, 20"",ITABIRA,MG,,,-19.6240019,-43.2288898"
"APS ITABIRITO,""AVENIDA QUEIROZ JUNIOR, 216"",ITABIRITO,MG,,,-20.2536336,-43.8029148"
"APS JOÃO MONLEVADE,""AV. WILSON ALVARENGA, 1455"",JOÃO MONLEVADE,MG,,,-19.807462,-43.1761708"
"APS MARIANA,""RUA 16 DE JULHO, 316"",MARIANA,MG,,,-20.3763497,-43.4153867"
"APS NOVA LIMA,""PRACA CORONEL ARISTIDES, 15"",NOVA LIMA,MG,,,-19.9834566,-43.8504537"
APS OURO PRETO,RUA BENEDITO VALADARES Nº 247,OURO PRETO,MG,,,-20.3849941,-43.5106749
"APS PONTE NOVA,""RUA ASSAD ZAIDAM, 21"",PONTE NOVA,MG,,,-20.4088123,-42.8969215"
"APS SABARÁ,""R DO CARMO, 77"",SABARÁ,MG,,,-19.8899911,-43.8085481"
"APS RAUL SOARES,""R. ANTÔNIO VIEIRA DOS SANTOS, 202 A"",RAUL SOARES,MG,,,-20.1043349,-42.4554352"
"APS NOVA ERA,""RUA GOVERNADOR VALADARES,160"",NOVA ERA,MG,,,-19.7663814,-43.0343005"
"APS RAPOSOS,""RUA JOSÉ MONSUETO CALIXTO, 56"",RAPOSOS,MG,,,-19.9668966,-43.8048186"
"APS SANTA BARBARA/MG,""AV. RAIMUNDO LINHARES, 399 SANTA LUCIA"",SANTA BARBARA,MG,,,,"
"APS GUAXUPÉ,""AV. CONDE RIBEIRO DO VALLE, 434"",GUAXUPÉ,MG,,,-21.303149,-46.7089539"
APS ITAJUBÁ,R DOUTOR AMERICO DE OLIVEIRA 768,ITAJUBÁ,MG,,,-22.4241383,-45.4503031
"APS MACHADO,""AV. SANTA CRUZ, 515"",MACHADO,MG,,,-21.6816334,-45.9247513"
"APS POÇOS DE CALDAS,""AV. FRANCISCO SALLES, 177"",POÇOS DE CALDAS,MG,,,-21.7849155,-46.5688853"
"APS POUSO ALEGRE,""AV. PREFEITO SAPUCAÍ, 120"",POUSO ALEGRE,MG,,,,"
"APS CAMBUÍ,""RUA OZÓRIO MARQUES, 300"",CAMBUÍ,MG,,,-22.6070546,-46.0586337"
"APS MUZAMBINHO,""AV. DR. AMERICO LUZ, 249"",MUZAMBINHO,MG,,,-21.3728003,-46.5234162"
"APS OURO FINO,""AVENIDA JOAQUIM FRANCISCO DE ASSIS, 420"",OURO FINO,MG,,,-22.2805953,-46.3637118"
"APS SANTA RITA DO SAPUCAÍ,""RUA ADELINO CARNEIRO PINTO, 45"",SANTA RITA DO SAPUCAÍ,MG,,,-22.2544731,-45.7036942"
"APS ANDRADAS,""RUA JOSE DIRCEU GRAZIANI, 130"",ANDRADAS,MG,,,-22.0644249,-46.5695487"
"APS JACUTINGA,""RUA PEDRO TURANO, 61"",JACUTINGA,MG,,,,"
"APS ARAXÁ,""TV ZECA MONTANDON, 10"",ARAXÁ,MG,,,-19.5885701,-46.9367925"
"APS FRUTAL,""AV. RIO DE JANEIRO, 1101"",FRUTAL,MG,,,,"
"APS PATOS DE MINAS,""RUA TIRADENTES, 500"",PATOS DE MINAS,MG,,,-18.5899443,-46.5183303"
"APS PATROCÍNIO,""RUA PRESIDENTE VARGAS, 1160"",PATROCÍNIO,MG,,,-18.944263,-46.991355"
APS UBERABA,R GOVERNADOR VALADARES - 487,UBERABA,MG,,,-19.7451067,-47.9382209
"APS PARACATU,""RUA JOSINO VALADARES, 25"",PARACATU,MG,,,-17.2210476,-46.8733149"
"APS COROMANDEL,""RUA JUVÊNCIO GARCIA, 100"",COROMANDEL,MG,,,-18.470643,-47.205748"
